LON,LAT,RANGE,AZIMUTH,PROB,MAXSIZE
-100.67129,36.60637,123,267,90,0.5
-99.88112,36.60445,85,265,100,0.5
-79.28857,30.90297,138,139,-999,-999
-88.49957,35.58644,125,289,-999,-999
-88.71565,35.36073,132,282,-999,-999
-87.44008,35.78668,84,308,20,0.5
-81.38714,29.77939,107,128,20,0.5
-84.87198,30.6204,98,261,50,0.5
-89.33551,32.17405,143,246,-999,-999
-89.22671,35.90187,128,340,-999,-999
-89.88841,32.18944,129,218,-999,-999
-88.40683,35.71556,109,358,40,0.5
-89.87809,32.37482,120,221,50,0.5
-88.65095,35.76471,113,352,70,0.5
-88.51244,35.60983,103,355,70,0.5
-88.99872,35.68329,112,343,80,0.5
-89.68135,32.24799,120,215,90,0.5
-88.79437,35.22804,83,344,80,0.75
-88.70595,35.34972,89,348,100,1
-89.31857,32.16692,115,206,100,1.25
-103.18344,29.06311,153,266,-999,-999
-101.89534,29.03846,86,261,70,0.5
-101.63669,29.0987,72,262,80,0.5
-101.29494,29.04685,55,256,100,1.75
-101.70591,28.97599,77,257,100,2.5
-102.02851,28.33209,108,239,100,2.75
-80.94433,26.69397,132,18,-999,-999
-80.58845,22.14493,159,157,-999,-999
-101.53163,39.29151,143,101,-999,-999
-101.54573,39.12092,145,105,-999,-999
-84.87206,30.61396,59,149,30,0.5
-80.92433,26.69672,35,271,20,0.5
-88.40801,35.71467,82,222,30,0.5
-87.42732,35.79277,57,187,40,0.5
-88.78917,35.25699,115,220,50,0.5
-88.66049,35.75453,89,229,60,0.5
-88.94526,35.66698,103,232,70,0.5
-88.516,35.61434,90,222,80,0.5
-89.2232,35.91798,106,243,90,0.75
-88.68637,35.3606,107,220,100,0.75
-89.87865,32.20482,7,130,20,0.5
-89.63214,32.24809,18,96,90,0.5
-89.30704,32.1767,35,100,100,1
-101.21945,39.9189,142,336,-999,-999
-100.84771,35.67459,132,199,-999,-999
-101.24967,35.60868,143,206,-999,-999
-101.32121,40.44843,173,339,-999,-999
-101.48554,39.49421,126,326,-999,-999
-101.02354,39.87475,136,339,-999,-999
-101.41445,39.76609,138,331,-999,-999
-102.0793,35.96495,148,224,-999,-999
-101.59664,39.61728,135,326,-999,-999
-100.35469,36.59989,72,195,40,0.5
-100.66767,36.6041,77,206,80,0.5
-101.52855,39.30219,118,322,100,0.5
-99.86794,36.59577,70,176,100,0.75
-101.529,39.14846,111,319,100,1
-86.35484,36.0753,16,69,40,0.5
-101.30308,29.03554,146,197,-999,-999
-101.6442,29.09142,149,204,-999,-999
-101.71206,28.9533,158,204,-999,-999
-101.26996,35.58919,129,63,-999,-999
-100.83814,35.66083,150,65,-999,-999
-102.13756,42.05226,128,166,-999,-999
-102.1497,42.04487,131,65,-999,-999
-101.96572,41.49357,130,80,-999,-999
-100.66061,36.61165,158,329,-999,-999
-101.26443,35.60108,135,304,-999,-999
-99.87828,36.59742,141,342,-999,-999
-100.80149,35.68896,120,312,100,0.5
-101.06118,36.83453,101,18,50,0.5
-100.65632,36.58729,96,32,80,0.5
-99.86215,36.60784,122,47,90,0.5
-100.73676,35.7244,56,58,100,0.5
-101.2319,35.62152,33,45,100,0.75
-79.28732,30.8675,127,79,-999,-999
-79.11241,31.7374,153,60,-999,-999
-81.65596,28.14586,140,179,-999,-999
-79.57843,30.07521,113,102,10,0.5
-79.68503,29.82942,112,110,10,0.5
-79.84538,29.41622,116,123,20,0.5
-80.47304,29.47657,88,133,40,0.5
-79.56591,30.37046,111,93,40,0.5
-101.71357,28.96346,180,172,-999,-999
-101.29943,29.0183,181,165,-999,-999
-104.06632,29.75403,163,217,-999,-999
-104.42448,30.85427,132,241,-999,-999
-103.52381,31.4265,75,246,10,0.5
-101.52171,39.18322,132,70,-999,-999
-101.53209,39.30379,134,67,-999,-999
-88.65649,35.78015,65,66,20,0.5
-89.40409,35.8506,38,37,30,0.5
-88.39315,35.72795,76,72,50,0.5
-87.44668,35.81339,122,76,60,0.5
-88.48428,35.61969,70,76,70,0.5
-88.94563,35.69413,50,65,80,0.5
-88.73959,35.24198,56,96,90,1
-88.67108,35.3734,59,88,100,1
-89.20112,35.92904,48,43,90,1.25
-79.14282,31.77812,110,118,20,0.5
-90.15064,28.28476,124,188,-999,-999
-90.95761,27.39245,186,199,-999,-999
-90.47869,28.17247,134,195,-999,-999
-90.71457,28.16697,138,200,-999,-999
-90.5868,27.61032,168,194,-999,-999
-90.39969,27.93282,147,192,-999,-999
-89.86338,32.20756,112,359,10,0.5
-89.86688,32.37462,122,359,30,0.5
-89.6674,32.2532,115,4,80,0.5
-89.32603,32.17524,113,13,100,1
-101.23599,39.91707,126,194,-999,-999
-101.46192,39.18661,171,194,-999,-999
-100.99926,39.89814,125,189,-999,-999
-101.44133,39.76952,137,197,-999,-999
-89.86961,32.20809,124,318,20,0.5
-102.00596,41.96772,64,271,30,0.5
-90.2877,31.30277,112,290,40,0.5
-101.98449,41.78243,64,261,40,0.5
-102.15385,42.09144,71,277,60,0.5
-89.63529,32.24567,118,323,80,0.5
-101.96469,41.54925,67,249,80,0.5
-89.30178,32.17801,105,329,100,0.75
-89.18491,35.91855,129,262,-999,-999
-87.43191,35.80165,50,238,40,0.5
-88.40178,35.71662,95,251,60,0.5
-88.97481,35.69557,122,255,80,0.5
-88.51,35.621,102,249,90,0.5
-88.77355,35.26257,123,242,90,0.75
-88.68827,35.37924,116,244,100,1
-88.71565,35.36073,132,282,-999,-999
-88.4857,35.62105,125,290,-999,-999
-88.77799,35.25114,134,279,-999,-999
-87.4564,35.79678,85,308,60,0.5
-88.40156,35.71127,123,293,60,0.5
-89.4127,35.83731,80,203,20,0.5
-88.66057,35.76941,78,176,50,0.5
-88.38989,35.71771,83,167,60,0.5
-88.94949,35.69028,83,186,90,0.5
-88.49064,35.6171,88,171,80,0.75
-88.772,35.26542,108,180,100,0.75
-88.66428,35.38456,101,177,100,1
-89.20393,35.91816,72,197,90,1.25
-78.6515,32.64949,81,188,10,0.5
-84.86104,30.60876,55,87,40,0.5
-89.18765,35.91105,164,66,-999,-999
-80.93187,26.69728,86,190,50,0.5
-100.81705,35.68754,145,245,-999,-999
-101.05043,36.86932,141,274,-999,-999
-100.65065,36.60769,122,267,80,0.5
-99.86054,36.60621,84,265,90,0.5
